id,title,description,video_id,language_id,video_duration,genre
1,Screamers | Full Horror Mystery Movie,"**This film is under non-exclusive license from Glass House Distribution. All rights reserved**

#Screamers - When an internet company decides to investigate a series of 'Screamer' videos, they are confronted with havoc and hell they could never expect.

2016
Stars: Tom Malloy, Chris Bannow, Griffin Matthews

Welcome to Movie Central. Subscribe and watch more Awesome Movies. 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",f7_ssAl6KRQ,1,1h 21m 58s,Horror
2,13 Demons | Full Horror Thriller Movie,"**This film is under license from Vision Films Inc. All rights reserved**

13 Demons - Gary, and his friends who are into gaming, renaissance fairs and various unsavory vices, stumble across a rare, medieval board game called ""13 Demons."" They discover the game has a dark history and was banned from most countries long ago for strange and mysterious reasons including unexplained deaths attributed to the game.

2016
Stars: Stephen Grey, Michael Cunningham, Daniel Falicki

Welcome to Movie Central. Subscribe and watch more Awesome Movies. 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",laPZerHcutE,2,1h 13m 36s,"Horror, Thriller"
3,911 Officer Down | Full Action Crime Movie | Javier Badillo,"**This film is under license from Summer Hill Entertainment/TomCat Films LLC.  All rights reserved**

911 Officer Down - A vigilante hijacks a police car and prowls the streets of Los Angeles disguised as a cop, serving his own brand of street justice.

2018
Stars: Javier Badillo, Mikal Grant, Constable Miller

Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",7ceEVYDtQMY,1,1h 22m 50s,Action
4,A Date With Miss Fortune | Full Romantic Comedy Movie,"A Date With Miss Fortune - When Jack gets rescued by Maria, a superstitious Portuguese beauty, he has no idea that his life and luck are both about to change. During this accidental ""first date"", Jack and Maria project idealistic images of themselves -- images that are humorously contradicted through a series of flash-forwards to their future life together.
Starring - Jeannette Sousa, Ryan Scott
**Under license from Vision Films Inc. All rights reserved**

*SUBSCRIBE to MOVIE CENTRAL!* - https://bit.ly/3mRDJox
Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

MORE FULL MOVIES - FREE on YouTube!

 Free Action Movies: https://bit.ly/3uMwRxq
 Free Sci-Fi Movies: https://bit.ly/3o3lLAm
 Free Horror Movies: https://bit.ly/3aBBt2J
 Free Asylum Movies: https://bit.ly/3cipzeI
 Free Crime/Thriller: https://bit.ly/3o01prJ
 Free Drama Movies: https://bit.ly/3Pu4mN9
 Free Comedy Movies: https://bit.ly/3IE0wPd
 Free Western Movies: https://bit.ly/3RqTX6u
 Free Adventure Movies: https://bit.ly/3yHolAT
 MOVIE CENTRAL Channel: https://bit.ly/3o27Fze

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",Dn6U2mwjsTs,1,1h 37m 54s,"Comedy, Romance"
5,A Doggone Adventure | Full Family Adventure Movie,"A Doggone Adventure - A telepathic dog enlists a group of fun loving kids to help him solve a mystery. The K-9 detective leads the children down a road filled with action and adventure.
2018.
**This film is under license from Vision Films Inc.  All rights reserved**

*SUBSCRIBE to MOVIE CENTRAL!* - https://bit.ly/3mRDJox
Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",KFTBJ1P6wzM,1,1h 24m 33s,"Adventure, Family"
6,A Doggone Christmas | Full Christmas Movie | Hallmark,"A Doggone Christmas - When the CIA discovers a cute orphan puppy with amazing telepathic abilities, the powers-that-be in Washington immediately lock him down and plan on forcing the poor dog to become a covert secret weapon. But fate steps in and frees the pint-sized Jack Russel Terrier from government clutches - delivering the cute little fellow into the loving arms of two brothers just a week before Christmas.
2016. Stars: Jaret Sacrey, Zachary Cirino, Dominique Swain
**Under license from Vision Films Inc. All rights reserved**

*SUBSCRIBE to MOVIE CENTRAL!* - https://bit.ly/3mRDJox
Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

MORE FULL MOVIES - FREE on YouTube!

 Free Action Movies: https://bit.ly/3uMwRxq
 Free Sci-Fi Movies: https://bit.ly/3o3lLAm
 Free Horror Movies: https://bit.ly/3aBBt2J
 Free Asylum Movies: https://bit.ly/3cipzeI
 Free Crime/Thriller: https://bit.ly/3o01prJ
 Free Drama Movies: https://bit.ly/3Pu4mN9
 Free Comedy Movies: https://bit.ly/3IE0wPd
 Free Western Movies: https://bit.ly/3RqTX6u
 Free Adventure Movies: https://bit.ly/3yHolAT
 MOVIE CENTRAL Channel: https://bit.ly/3o27Fze

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMoviesbe.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All the content on this channel is under license from various copyright holders. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

★ Buy some items from Classic Movies
https://teespring.com/stores/classic-movies-channel

#LegitClassicMovies",PBikg8U65YA,3,1h 22m 33s,"Adventure, Family"
7,A Doggone Hollywood | Full Family Adventure Movie | Dog Movie,"A Doggone Hollywood - Murphy (""Just Jesse the Jack"") is a mega-famous canine TV star who is fed up with being treated like a 'cashmachine' by Hollywood executives. He escapes and a group of loving kids save him.
2017.  Stars: Jesse the Jack Russell Terrier, Paul Logan, Cynthia Rothrock
**This film is under license from Vision Films Inc. All rights reserved**

*SUBSCRIBE to MOVIE CENTRAL!* - https://bit.ly/3mRDJox
Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #MovieCentral #FreeYouTubeMovies",LeSbtaSQERE,2,1h 22m 19s,"Adventure, Family"
8,A Gift Horse | Family Adventure | Full Movie,"**This film is under license from Vision Films Inc. All rights reserved**

A Gift Horse - Torn apart by the loss of her mother, young Amanda spends time at a ranch owned by a business tycoon. When his spoiled daughter rejects their new horse, Amanda proves that Misty is a true champion and restores her own happiness in the process.

Stars: John Schneider, Kyla Kenedy, Candi Brooks

★ Awesome Movies 

Welcome to the Movie Central. Subscribe and watch more Awesome Movies. 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All the content on this channel is under license from various copyright holders. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

★ Buy some items from our merch store - 
https://teespring.com/stores/classic-movies-channel

#FullFreeMovies #MoviesWithAnimals #FreeFamilyMovies #FreePGMovies",AwyNQenGeBM,1,1h 22m 50s,Family
9,A Life Lived | Full Movie | Heartfelt Drama | Denise Richards,"A Life Lived - The story about the life of a dollar bill, and the many lives it passes along the way.
2016.  Stars: Denise Richards, Jennifer Taylor, Kinga Philipps
**Under non-exclusive license from Glass House Distribution. All rights reserved**

*SUBSCRIBE to MOVIE CENTRAL!* - https://bit.ly/3mRDJox
Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

MORE FULL MOVIES - FREE on YouTube!

 Free Action Movies: https://bit.ly/3uMwRxq
 Free Sci-Fi Movies: https://bit.ly/3o3lLAm
 Free Horror Movies: https://bit.ly/3aBBt2J
 Free Asylum Movies: https://bit.ly/3cipzeI
 Free Crime/Thriller: https://bit.ly/3o01prJ
 Free Drama Movies: https://bit.ly/3Pu4mN9
 Free Comedy Movies: https://bit.ly/3IE0wPd
 Free Western Movies: https://bit.ly/3RqTX6u
 Free Adventure Movies: https://bit.ly/3yHolAT
 MOVIE CENTRAL Channel: https://bit.ly/3o27Fze

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #ZombieMovies #FreeYouTubeMovies",1bc57eEyVbQ,1,1h 17m 42s,Drama
10,A Miami Love Story | Full Action Drama Movie | Paul Antoine,"*SUBSCRIBE* - https://bit.ly/3mRDJox **This film is under non-exclusive license from TriCoast Worldwide.  All rights reserved**

A Miami Love Story - The cultural divide between Haitians and Dominicans has crossed the Caribbean and is spilling all over the streets of Miami. Patrick, a kingpin, battles with Felipe for dominance of the drug markets. The already tense balance is threatened even further when Patrick's young sister Flo and Felipe's nephew begin a romance that will bring everything to a climactic head.

2017
Stars: Paul Antoine, Miguel Fuego Duran, Lexi Delarosa

Welcome to Movie Central. Subscribe and watch more Awesome Movies! 
https://www.youtube.com/channel/UCGBzBkV-MinlBvHBzZawfLQ/playlists

** All of the content on this channel is under legal license from various copyright holders and distributors. We ask you to please contact us if you believe there are any copyright issues via - you_tube@valleyarm.com  **

#FullFreeMovies #FullUrbanMovies #FreeYouTubeMovies",33de5g5NJdM,1,1h 18m 7s,Action
